Yr_Mo,Year,Month,Site,Area,RS,RH,RS/RH,Clods
16_10,2016,10,1607A,T3SE,309,53,5.83,90
16_10,2016,10,1607B,T3SE,327,45,7.26,90
16_10,2016,10,1608A,T3SE,314,49,6.41,65
16_10,2016,10,1608B,T3SE,281,53,5.29,32
16_10,2016,10,1608C,T3SE,333,44,7.64,57
16_10,2016,10,1609A,T3SE,345,39,8.85,25
16_10,2016,10,1609B,T3SE,341,35,9.74,38
16_11,2016,11,1606A,T3SE,345,50,6.9,100
16_11,2016,11,1606b,T3SE,315,45,7,97
16_11,2016,11,1606C,T3SE,293,50,5.86,100
16_11,2016,11,1607A,T3SE,309,47,6.57,100
16_11,2016,11,1607B,T3SE,322,45,7.16,100
16_11,2016,11,1608A,T3SE,325,45,7.22,93
16_11,2016,11,1608C,T3SE,344,46,7.48,43
16_11,2016,11,1609A,T3SE,358,42,8.52,22
16_11,2016,11,1609B,T3SE,340,37,9.19,40
16_10,2016,10,1601A,T3SW,395,46,8.59,80
16_10,2016,10,1601B,T3SW,360,47,7.65,93
16_10,2016,10,1602A,T3SW,394,50,7.87,80
16_10,2016,10,1602B,T3SW,387,34,11.38,70
16_10,2016,10,1603A,T3SW,362,49,7.38,87
16_10,2016,10,1603B,T3SW,322,50,6.44,53
16_10,2016,10,1604A,T3SW,326,50,6.54,80
16_10,2016,10,1604B,T3SW,359,59,6.08,90
16_10,2016,10,1605A,T3SW,333,46,7.24,87
16_10,2016,10,1605B,T3SW,377,51,7.39,90
16_11,2016,11,1601A,T3SW,403,43,9.37,93
16_11,2016,11,1601B,T3SW,362,46,7.87,100
16_11,2016,11,1602B,T3SW,395,31,12.74,83
16_11,2016,11,1602A,T3SW,408,48,8.5,80
16_11,2016,11,1603A,T3SW,362,51,7.1,100
16_11,2016,11,1603B,T3SW,318,43,7.4,93
16_11,2016,11,1604A,T3SW,326,59,5.53,83
16_11,2016,11,1604B,T3SW,351,60,5.85,100
16_11,2016,11,1605A,T3SW,331,47,7.04,100
16_11,2016,11,1605B,T3SW,375,48,7.81,100
16_10,2016,10,1618A,T5-4,201,41,4.96,18
16_10,2016,10,1619A,T5-4,195,42,4.64,0
16_10,2016,10,1620A,T5-4,225,44,5.16,30
16_10,2016,10,1621A,T5-4,211,43,4.91,93
16_11,2016,11,1618a,T5-4,195,39,5,17
16_11,2016,11,1619A,T5-4,202,37,5.46,8
16_11,2016,11,1620A,T5-4,207,44,4.7,90
16_11,2016,11,1621a,T5-4,205,42,4.88,93
